id,date,amount,card,id_merchant
222,2018-01-01 21:35,6.22,3.56195E+15,69
2045,2018-01-01 21:43,3.83,5.13584E+15,85
395,2018-01-01 22:41,9.61,2.13194E+14,82
3309,2018-01-01 23:13,19.03,4.26369E+15,5
567,2018-01-01 23:15,2.95,4.498E+12,64
1683,2018-01-02 1:13,11.24,4.26369E+15,127
2083,2018-01-02 2:06,1.46,4.31965E+12,93
3488,2018-01-02 4:36,3.36,4.50641E+15,136
2635,2018-01-02 5:45,16.69,5.29719E+15,120
432,2018-01-02 10:13,8.55,5.17595E+15,70
2918,2018-01-02 11:28,15.85,1.80099E+14,16
2020,2018-01-02 13:17,2.64,5.0188E+11,84
1084,2018-01-02 15:10,10.52,6.50024E+15,39
3490,2018-01-02 16:14,3.12,3.51711E+15,21
1179,2018-01-02 19:40,10.44,4.74104E+12,55
99,2018-01-02 23:27,1031,5.0188E+11,95
191,2018-01-03 5:13,2.76,3.53565E+15,149
2387,2018-01-03 8:44,3.89,4.02791E+15,74
2512,2018-01-03 10:18,14.57,4.26849E+15,106
793,2018-01-03 10:34,2.63,3.0182E+13,35
533,2018-01-03 15:23,1.39,4.96292E+18,100
1077,2018-01-03 18:16,10.27,5.01809E+11,84
2120,2018-01-03 21:04,1.91,3.56107E+15,108
1302,2018-01-04 0:29,12.45,3.56195E+15,39
2022,2018-01-04 1:28,2.81,4.64401E+18,89
2806,2018-01-04 1:35,20.33,3.51695E+15,112
2922,2018-01-04 3:00,17.59,5.01809E+11,100
2650,2018-01-04 3:05,1685,3.51695E+15,80
1510,2018-01-04 6:34,10.22,4.18816E+15,80
139,2018-01-04 11:15,5.72,3.53565E+15,99
1331,2018-01-04 13:41,12.7,5.13584E+15,122
530,2018-01-04 14:38,2.84,3.53565E+15,73
2859,2018-01-04 17:19,15.48,5.17595E+15,72
2694,2018-01-04 19:24,14.31,4.58696E+18,134
2127,2018-01-05 0:49,2.32,4.18816E+15,136
1995,2018-01-05 1:10,5.09,5.01809E+11,46
1346,2018-01-05 3:11,12.2,4.26849E+15,69
2176,2018-01-05 5:47,4.64,5.17595E+15,103
1552,2018-01-05 6:26,10.74,3.72415E+14,86
487,2018-01-05 6:27,4.6,4.15984E+18,48
2077,2018-01-05 7:19,1.36,3.4412E+14,30
314,2018-01-05 10:42,5.31,3.56107E+15,8
77,2018-01-05 16:58,4.57,5.13584E+15,91
1570,2018-01-06 1:43,10.04,5.50071E+15,34
2439,2018-01-06 2:16,1.33,4.86676E+18,127
2258,2018-01-06 4:43,5.31,5.29719E+15,42
1867,2018-01-06 5:13,10.82,4.86676E+18,70
846,2018-01-06 6:46,2.7,2.13194E+14,146
2890,2018-01-06 7:00,18.35,3.56195E+15,76
3291,2018-01-06 8:42,18.72,3.53565E+15,76
2557,2018-01-06 8:49,16.28,4.26849E+15,101
325,2018-01-06 23:33,7.6,3.76028E+14,141
2663,2018-01-07 0:30,17.84,4.15984E+18,112
3457,2018-01-07 1:10,175,3.4412E+14,12
447,2018-01-07 7:33,7.07,4.83448E+15,14
1249,2018-01-07 10:31,10.9,5.29719E+15,135
2108,2018-01-07 14:57,2.93,4.31965E+12,137
3028,2018-01-07 15:10,17.29,4.86676E+18,126
149,2018-01-07 16:50,5.83,4.15984E+18,81
2304,2018-01-07 20:35,2.5,6.01199E+15,104
1384,2018-01-08 0:26,10.04,3.58135E+15,64
1371,2018-01-08 1:12,10.4,5.50071E+15,121
1291,2018-01-08 2:34,1029,3.58135E+15,145
1065,2018-01-08 4:15,11.49,4.74104E+12,130
1340,2018-01-08 4:29,10.64,5.01809E+11,116
1544,2018-01-08 6:27,10.48,4.02791E+15,68
522,2018-01-08 10:48,11.06,4.7432E+18,113
812,2018-01-08 11:15,333,3.4412E+14,95
1640,2018-01-08 11:21,11.98,5.50071E+15,133
2550,2018-01-08 11:35,15.84,4.15072E+15,15
2095,2018-01-08 14:06,3.52,1.80099E+14,95
3130,2018-01-08 16:38,21.27,5.29719E+15,106
3085,2018-01-08 19:31,17.43,5.84227E+11,19
1816,2018-01-08 20:10,11.55,3.4412E+14,102
3480,2018-01-08 21:44,1.68,4.6819E+12,78
1188,2018-01-08 21:44,10.64,5.17595E+15,84
379,2018-01-09 11:14,7.07,5.01809E+11,136
687,2018-01-09 21:06,2.7,4.50641E+15,67
2558,2018-01-09 21:43,16.37,4.6819E+12,64
754,2018-01-10 0:25,1.39,3.72415E+14,50
608,2018-01-10 3:17,0.87,5.03843E+11,129
2818,2018-01-10 3:24,16.64,3.56195E+15,65
865,2018-01-10 3:55,2.3,4.15072E+15,19
998,2018-01-10 10:07,10.91,6.75911E+11,78
1436,2018-01-10 13:41,11.5,3.51711E+15,49
1938,2018-01-10 14:50,5.64,5.36178E+15,44
602,2018-01-10 15:56,1.22,5.03843E+11,27
3289,2018-01-10 19:53,18.41,4.15984E+18,23
1361,2018-01-10 23:03,10.7,3.53565E+15,70
496,2018-01-11 0:39,3.23,5.03843E+11,68
156,2018-01-11 9:27,5.55,6.01199E+15,107
315,2018-01-11 9:38,7.94,5.13584E+15,146
3498,2018-01-11 9:58,1.62,5.50071E+15,149
3331,2018-01-11 10:51,1.24,3.00633E+13,7
2128,2018-01-11 12:46,3.97,4.83448E+15,44
2188,2018-01-11 13:20,229,5.5706E+15,115
1716,2018-01-11 16:18,10.27,5.36178E+15,46
2146,2018-01-11 19:36,1.72,4.76105E+18,99
2779,2018-01-11 22:55,19.5,4.26849E+15,8
1048,2018-01-12 2:18,11.52,3.5822E+15,2
2170,2018-01-12 2:48,1.84,3.0143E+13,2
2025,2018-01-12 4:33,5.32,4.18816E+15,10
451,2018-01-12 6:34,6.19,3.0182E+13,40
444,2018-01-12 13:30,5.92,4.50641E+15,38
416,2018-01-12 13:59,4.45,5.01809E+11,85
291,2018-01-12 16:29,4.69,4.26849E+15,144
3373,2018-01-12 18:04,1.88,4.6819E+12,44
270,2018-01-12 22:14,6.4,4.27647E+12,112
1937,2018-01-12 23:38,1.1,4.50641E+15,64
2835,2018-01-13 2:02,17.12,3.76028E+14,2
3175,2018-01-13 3:06,16.27,4.26849E+15,24
450,2018-01-13 3:20,4.89,2.13194E+14,58
2222,2018-01-13 4:49,3.63,4.50641E+15,53
2755,2018-01-13 6:07,19.24,4.96292E+18,32
582,2018-01-13 14:36,1.35,4.15072E+15,102
1546,2018-01-13 15:22,10.15,4.71177E+15,108
718,2018-01-13 18:34,2.22,4.26369E+15,9
3445,2018-01-13 22:18,2.11,3.0143E+13,3
2386,2018-01-13 22:26,3.79,5.50071E+15,106
2843,2018-01-14 3:20,14.69,5.84227E+11,133
3023,2018-01-14 5:02,17.84,3.72415E+14,52
2879,2018-01-14 6:19,21.11,3.53565E+15,74
830,2018-01-14 7:06,3.15,5.84227E+11,96
2521,2018-01-14 7:33,15.21,4.74104E+12,21
1482,2018-01-14 7:50,10.23,3.76028E+14,38
1916,2018-01-14 10:04,12.33,4.16531E+18,55
1560,2018-01-14 13:30,10.94,3.51711E+15,19
3159,2018-01-14 15:03,16.67,2.13194E+14,30
604,2018-01-14 15:31,1.42,3.76028E+14,97
970,2018-01-14 17:29,10.31,4.50641E+15,40
3359,2018-01-15 3:37,1.47,4.83448E+15,139
2787,2018-01-15 6:23,15.87,4.53999E+15,70
2622,2018-01-15 10:27,15.51,4.76105E+18,8
1382,2018-01-15 11:52,11.67,4.15984E+18,139
3105,2018-01-15 11:55,17.16,3.56195E+15,101
2581,2018-01-15 19:37,18.61,3.56195E+15,74
591,2018-01-15 20:53,2.95,4.6819E+12,98
2714,2018-01-16 0:57,15.33,4.50641E+15,149
3333,2018-01-16 2:26,1.65,3.72415E+14,31
3068,2018-01-16 3:22,13.29,5.29719E+15,12
3065,2018-01-16 4:12,16.89,4.71177E+15,109
2655,2018-01-16 6:29,17.64,6.75911E+11,136
2866,2018-01-16 8:02,17.36,3.00783E+13,116
680,2018-01-16 13:48,1.84,4.26849E+15,144
1755,2018-01-16 13:51,13.52,4.15984E+18,54
753,2018-01-16 18:45,1.48,4.96292E+18,86
665,2018-01-16 19:19,2.55,3.4412E+14,99
3278,2018-01-17 0:03,18.05,4.2791E+18,133
651,2018-01-17 0:18,3.6,4.15984E+18,44
246,2018-01-17 0:22,5.41,4.7432E+18,105
2971,2018-01-17 2:02,15.18,2.13194E+14,75
2875,2018-01-17 4:56,16.46,3.76028E+14,42
758,2018-01-17 6:36,1.02,1.80099E+14,147
1551,2018-01-17 6:59,10,4.58696E+18,149
1889,2018-01-17 7:31,12.67,4.498E+12,89
1593,2018-01-17 7:56,11.91,4.6819E+12,2
30,2018-01-17 9:09,3.82,4.71177E+15,111
733,2018-01-17 9:25,2.85,3.56195E+15,18
878,2018-01-17 11:09,12.27,3.76028E+14,146
3340,2018-01-17 15:02,1.72,4.498E+12,115
105,2018-01-17 16:57,1.25,4.26849E+15,65
840,2018-01-17 19:16,2.11,4.26849E+15,132
2314,2018-01-17 20:06,2.69,3.56107E+15,29
3466,2018-01-18 3:12,3.44,3.4412E+14,5
2633,2018-01-18 8:18,17.54,4.16531E+18,104
